NovelsName,NormalizedName
Arthor Karstark,Arthor Karstark
Arthur Ambrose,Arthur Ambrose
Arthur Dayne,Arthur Dayne
Artos Flint,Artos Flint
Artos Stark,Artos Stark
Artys Arryn,Artys I Arryn
Arwood Frey,Arwood Frey
Arwyn Frey,Arwyn Frey
Arwyn Oakheart,Arwyn Oakheart
Arya Stark,Arya Stark
Arys Oakheart,Arys Oakheart
Ash,Ash
Asha Greyjoy,Asha Greyjoy
Ashara Dayne,Ashara Dayne
Assadora,Assadora of Ibben
Aurane Waters,Aurane Waters
Axell Florent,Axell Florent
Azor Ahai,Azor Ahai
Bael the Bard,Bael the Bard
Baelor Blacktyde,Baelor Blacktyde
Baelor Breakspear,Baelor Targaryen (son of Daeron II)
Baelor Hightower,Baelor Hightower
Baelor Targaryen,Baelor Targaryen
Balaq,Black Balaq
Balman Byrch,Balman Byrch
Balon Greyjoy,Balon Greyjoy
Balon Swann,Balon Swann
Bandy,Bandy
Banfred Hightower,Manfred Hightower (Aegon's Conquest)
Bannen,Bannen
Baqq,Beans
Barba Bracken,Barba Bracken
Barbrey Dustin,Barbrey Dustin
Barra,Barra
Barristan Selmy,Barristan Selmy
Barsena,Barsena Blackhair
Barth,Barth (brewer)
Bartimus,Bartimus
Bass,Bass
Bayard Norcross,Bayard Norcross
Beans,Beans
Bearded Ben,Bearded Ben
Beardless Dick,Beardless Dick
Becca,Becca
Becca the Baker,Becca the Baker
Beck,Beck
bedmaid,
Bedwyck,Bedwyck
Belaquo,Belaquo Bonebreaker
Beldecar,Beldecar
Belicho Staegone,Belicho Staegone
Belis,Belis
Bella,Bella
Bellandra,Belandra
Bellegere Otherys,Bellegere Otherys
Bellonara Otherys,Bellonara Otherys
Belwas,Belwas
Ben Beesbury,Ben Beesbury
Ben Blackthumb,Ben Blackthumb
Ben Blackwood,Benjicot Blackwood
Ben Bones,Ben Bones
Ben Plumm,Ben Plumm
Benedar Belmore,Benedar Belmore
Benerro,Benerro
Benethon Scales,Benethon Scales
Benfred Tallhart,Benfred Tallhart
Benfrey Frey,Benfrey Frey
Benjen Stark,Benjen Stark
Beren Tallhart,Beren Tallhart
Berena Hornwood,Berena Hornwood
Beric Dondarrion,Beric Dondarrion
Beron,Beron
Beron Blacktyde,Beron Blacktyde
Beron Stark,Beron Stark
Bertram Beesbury,Bertram Beesbury
Bessa,Bessa
Beth Cassel,Beth Cassel
Bethany Blackwood,Bethany Blackwood
Bethany Fair-fingers,Bethany Fair-Fingers
Bethany Redwyne,Bethany Redwyne
Bethany Rosby,Bethany Rosby
Bethany Ryswell,Bethany Bolton
Bharbo,Bharbo
Big Belly Ben,Big Belly Ben
Big Ben Bushy,Ben Bushy
Big Boil,Big Boil
Big Walder,Walder Frey (son of Jammos)
Bill Bone,Old Bill Bone
Biter,Biter
Black Bernarr,Black Bernarr
Black Fist,Black Fist
Black Gerrold,Black Gerrold
Black Knife,Black Knife
Black Walder,Walder Frey (son of Ryman)
Blane,Blane
Blind Beqqo,Blind Beqqo
Blind Wyl,Wyl the Whittler
Bloodbeard,Bloodbeard
Bluetooth,Bluetooth
Blushing Bethany,Blushing Bethany
Bodger,Bodger
Bokkoko,Bokkoko
Bolton guard,
Bonifer Hasty,Bonifer Hasty
Books,Books
Borcas,Borcas
Boremund Harlaw,Boremund Harlaw
born in battle,
born-in-battle,
Boros Blount,Boros Blount
Borroq,Borroq
Bors,Bors
Bowen Marsh,Bowen Marsh
Boy,Boy
Bran Stark,Bran Stark
Brandon Norrey,Brandon Norrey
Brandon Stark,Brandon Stark
Brandon The Builder,Brandon Stark (Builder)
Brandon the Builder,Brandon Stark (Builder)
Brandon the Burner,Brandon Stark (Burner)
Brandon the Daughterless,Brandon Stark (the Daughterless)
Brandon the Shipwright,Brandon Stark (Shipwright)
Brea,Brea
Brella,Brella
Brendel Byrne,Brendel Byrne
Briar,Briar
Brienne Tarth,Brienne of Tarth
Brogg,Brogg
Broken Nose,
Bronn,Bronn
Brother Clement,Clement
Brother Gillam,Gillam
Brother Narbert,Narbert
Brother Rawney,Rawney
Brown Bernarr,Brown Bernarr
Brus Buckler,Brus Buckler
Brusco,Brusco
Bryan Fossoway,Bryan Fossoway
Bryan Votyris,Byan Votyris
Bryce Caron,Bryce Caron
Bryen,Bryen
Bryen Farring,Bryen Farring
Brynden Blackwood,Brynden Blackwood
Brynden Tully,Brynden Tully
Bump,Bump
Burton Crakehall,Burton Crakehall
Burton Humble,Burton Humble
Butterbumps,Butterbumps
Butts,Butts
Buu,Buu
Byam Flint,Byam Flint
Byron,
Byron Swann,Byron Swann
Cadwyl,Cadwyl
Caggo,Caggo
Calon,Calon
Camarron,Camarron of the Count
Canker Jeyne,Canker Jeyne
Canty,Canty
captain of Rob's Hammer,
captain of the Myraham,Captain of the Myraham
captain's daughter,
Carellen Smallwood,Carellen Smallwood
Carrot,Carrot
Cass,Cass
Cassana Estermont,Cassana Estermont
Casso Mogat,Casso Mogat
Catelyn Stark,Catelyn Stark
Cayn,Cayn
Cedra,Cedra
Cedric Payne,Cedric Payne
Cedrik Storm,Cedrik Storm
Cersei Baratheon,Cersei Lannister
Cersei Frey,Cersei Frey
Cetherys,Cetherys
Chataya,Chataya
Chayle,Chayle
Chella,Chella
Chett,Chett
Cheyk,Cheyk
Chiggen,Chiggen
Chiswyck,Chiswyck
Clarence Crabb,Clarence Crabb
Clarence the Short,Clarence Crabb (Short)
Clayton Suggs,Clayton Suggs
Clement Crabb,Clement Crabb
Clement Piper,Clement Piper
Cleon,Cleon
Cleon the Second,Cleon the Second
Cleos Frey,Cleos Frey
Cletus Yronwood,Cletus Yronwood
Cley Cerwyn,Cley Cerwyn
Clubfoot Karl,Clubfoot Karl
Clydas,Clydas
Coals,Coals
Cohollo,Cohollo
Coldhands,Coldhands
Collio Quaynis,Collio Quaynis
Colloquo Votar,Colloquo Votar
Conn,Conn
Conwy,Conwy
Coratt,Coratt
Corliss Penny,Corliss Penny
Cortnay Penrose,Cortnay Penrose
Cossomo the Conjurer,Cossomo the Conjurer
Cotter Pyke,Cotter Pyke
Courtenay Greenhill,Courtenay Greenhill
Crackbones,Crackbones
Cragorn,Cragorn
Crakehall messenger,
Craster,Craster
Craster wife 1,
Crawn,Crawn
Cregan Karstark,Cregan Karstark
Cregan Stark,Cregan Stark
Creighton Longbough,Creighton Longbough
Criston Cole,Criston Cole
Cromm,Cromm
Cuger,Cuger
Cutjack,Cutjack
Daario Naharis,Daario Naharis
Dacey Mormont,Dacey Mormont
Dacks,Dacks
Daegon Shepherd,Daegon Shepherd
Daemon Blackfyre,Daemon Blackfyre
Daemon Sand,Daemon Sand
Daena Targaryen,Daena Targaryen
Daenerys Targaryen,Daenerys Targaryen
Daenerys Targaryen 2,Daenerys Targaryen (daughter of Aegon IV)
Daeron I Targaryen,Daeron I Targaryen
Daeron II Targaryen,Daeron II Targaryen
Daeron Targaryen,
Dagmer Cleftjaw,Dagmer Cleftjaw
Dagon Codd,Dagon Codd
Dagon Greyjoy,Dagon Greyjoy
Dagon the Drunkard,Dagon Greyjoy (Drunkard)
Dagos Manwoody,Dagos Manwoody
Dake,Dake
Dale Seaworth,Dale Seaworth
Dale the Dread,
Dalla,Dalla
Damion Lannister,Damion Lannister
Damon,Damon Dance-for-Me
Damon Vypren,Damon Vypren
Dancy,Dancy
Danelle Lothston,Danelle Lothston
Dannel,Dannel
Danny Flint,Danny Flint
Danos Slynt,Danos Slynt
Danwell Frey,Danwell Frey
Dareon,Dareon
Daryn Hornwood,Daryn Hornwood
Daughter of the Dusk,Daughter of the Dusk
Daven Lannister,Daven Lannister
Davos Seaworth,Davos Seaworth
Dead Chett,Chett
Dead Hake,Hake
Dead Jafer Flowers,Jafer Flowers
Dead Lark,Lark
Dead Othor,Othor
Dead Paul,Small Paul
Dead Ryles,Ryles
Dead Softfoot,Softfoot
Dead Thistle,Thistle
Dead Torwynd,Torwynd
Dead Waymar,Waymar Royce
Del,Del
Delena Florent,Delena Florent
Delp,Delp
Dennet,Dennet
Denyo Terys,Denyo Terys
Denys Arryn,Denys Arryn
Denys Darklyn,Denys Darklyn
Denys Drumm,Denys Drumm
Denys Mallister,Denys Mallister
Denzo D'han,Denzo D'han
Dermot,Dermot of the Rainwood
Desmera Redwyne,Desmera Redwyne
Desmond,Desmond
Desmond Grell,Desmond Grell
Devan Seaworth,Devan Seaworth
Devyn Sealskinner,Devyn Sealskinner
Deziel Dalt,Deziel Dalt
Dhazzar,Dhazzar
Dick Cole,Dick Cole
Dick Crabb,Dick Crabb
Dick Follard,Dick Follard
Dick Straw,Dick Straw
Dickon Manwoody,Dickon Manwoody
Dickon Tarly,Dickon Tarly
Dilly,Dornish Dilly
Dirk,Dirk
Dobber,Dobber
Dolf,Dolf
Domeric Bolton,Domeric Bolton
Donal Noye,Donal Noye
Donel Greyjoy,Donel Greyjoy
Donella Hornwood,Donella Hornwood
Doniphos Paenymion,Doniphos Paenymion
Donnel,
Donnel Drumm,Donnel Drumm
Donnel Flint,Donnel Flint
Donnel Haigh,Donnel Haigh
Donnel Hill,Donnel Hill
Donnel Locke,Donnel Locke
Donnel Swann,Donnel Swann
Donnel Waynwood,Donnel Waynwood
Donnis,Donnis
Dontos Hollard,Dontos Hollard
Doran Martell,Doran Martell
Dorcas,Dorcas
Dorea Sand,Dorea Sand
Doreah,Doreah
Dormund,Dormund
Dorna Swyft,Dorna Swyft
Dorren Stark,Dorren Stark
Draqaz,Draqaz
Drennan,Drennan
Drogo,Drogo
Droopeye Dale,Droopeye Dale
Dryn,Dryn
Duncan Liddle,Duncan Liddle
Duncan Targaryen,Duncan Targaryen
Duncan the Tall,Duncan the Tall
Dunsen,Dunsen
Dunstan Drumm,Dunstan Drumm
Duram Bar Emmon,Duram Bar Emmon
Duran,Duran
Durran Godsgrief,Durran Godsgrief
dusky woman,Dusky woman
Dyah,Dyah
Dykk Harlaw,Dykk Harlaw
Dywen,Dywen
Easy,Easy
Ebben,Ebben
Eddard Karstark,Eddard Karstark
Eddard Stark,Eddard Stark
Eddison Tollett,Eddison Tollett
Edgar Yronwood,Edgar Yronwood
Edgerran Oakheart,Edgerran Oakheart
Edmund Ambrose,Edmund Ambrose
Edmund Waxley,Edmund Waxley
Edmure Tully,Edmure Tully
Edric Dayne,Edric Dayne
Edric Storm,Edric Storm
Edrick Stark,Edrick Stark
Edwyd Fossoway,Edwyd Fossoway
Edwyn Frey,Edwyn Frey
Eggon,Eggon
Egon Emeros,Egon Emeros
Eladon Goldenhair,Eladon Goldenhair
Elbert Arryn,Elbert Arryn
Elder Brother,Elder Brother
Eldiss,Eldiss
Eldon Estermont,Eldon Estermont
Eldred Codd,Eldred Codd
Elenei,Elenei
Eleyna Westerling,Eleyna Westerling
Elia Sand,Elia Sand
Elia Targaryen,Elia Martell
Elinor Tyrell,Elinor Tyrell
Ellaria Sand,Ellaria Sand
Ellyn Reyne,Ellyn Reyne
Ellyn Tarbeck,Ellyn Reyne
Elmar Frey,Elmar Frey
Elwood,Elwood
Elwood Harte,Elwood Harte
Elwood Meadows,Elwood Meadows
Elyas Willum,Elyas Willum
Elys Waynwood,Elys Waynwood
Elys Westerling,Elys Westerling
Emma,Emma
Emmett,Emmett
Emmon Cuy,Emmon Cuy
Emmon Frey,Emmon Frey
Emmond,Emmond
Emrick,Emrick
Endehar,Endehar
Endrew Tarth,Endrew Tarth
Enger,Enger
Eon Hunter,Eon Hunter
Erena Glover,Erena Glover
Erik Ironmaker,Erik Ironmaker
Ermesande Hayford,Ermesande Hayford
Eroeh,Eroeh
Erreg the Kinslayer,Erreg the Kinslayer
Errok,Errok
Erryk,Erryk
Erryk Cargyll,Erryk Cargyll
Ethan Glover,Ethan Glover
Euron Greyjoy,Euron Greyjoy
Eustace,
Eustace Brune,Eustace Brune
Ezzara,Ezzara
Ezzelyno,Ezzelyno
Fair Walda,Walda Frey (daughter of Walton)
Falia Flowers,Falia Flowers
Falyse Stokeworth,Falyse Stokeworth
Farlen,Farlen
Fat Tom,Tomard
Fat Walda,Walda Frey (daughter of Merrett)
Fern,Fern
Ferny,Ferny
Fingers,Fingers
Flement Brax,Flement Brax
Fletcher Dick,Fletcher Dick
Fletcher Will,Fletcher Will
Florian,Florian the Fool
Florian the Fool,Florian the Fool
Fogo,Fogo
Forley Prester,Forley Prester
Fornio,Fornio
Fralegg,Fralegg
Franklyn Flowers,Franklyn Flowers
Franklyn Fowler,Franklyn Fowler
Frenya,Frenya
Frey scout,
Frynne,Frynne
Fulk the Flea,Fulk the Flea
Gage,Gage
Galazza Galare,Galazza Galare
Galbart Glover,Galbart Glover
Galendro,Galendro
Galladon Tarth,Galladon Tarth
Galt,Galt
Galyeon of Cuy,Galyeon of Cuy
gaoler,
Gared,Gared
Garigus,Garigus
Garin,Garin (orphan)
Garin the Great,Garin the Great
Gariss,Gariss
Garlan Tyrell,Garlan Tyrell
Garrett Greenspear,Garrett Greenspear
Garrett Paege,Garrett Paege
Garrison Prester,Garrison Prester
Garse,Garse
Garse Goodbrook,Garse Goodbrook
Garth,Garth
Garth Greenfield,Garth Greenfield
Garth Greenhand,Garth Greenhand
Garth Greyfeather,Garth Greyfeather
Garth of Greenaway,Garth of Greenaway
Garth of Oldtown,Garth of Oldtown
Garth Tyrell,Garth Tyrell
Garth XII Gardener,Garth XII Gardener
Gawen Glover,Gawen Glover
Gawen Westerling,Gawen Westerling
Gawen Wylde,Gawen Wylde
Gella,Gella
Gelmarr,Gelmarr
Gendel,Gendel
Gendry,Gendry
Genna Lannister,Genna Lannister
Gerald Gower,Gerald Gower
Gerion Lannister,Gerion Lannister
Germund Botley,Germund Botley
Gerold Dayne,Gerold Dayne
Gerold Grafton,Gerold Grafton
Gerold Hightower,Gerold Hightower
Gerren,Gerren
Gerrick Kingsblood,Gerrick Kingsblood
Gerris Drinkwater,Gerris Drinkwater
Gerrold Redback,Gerrold Redback
Gevin Harlaw,Gevin Harlaw
Ghael,Ghael
Ghost of High Heart,Ghost of High Heart
Gilly,Gilly
Gilwood Hunter,Gilwood Hunter
Ginger Jack,Ginger Jack
girl,
Gladden Wylde,Gladden Wylde
Glendon Hewett,Glendon Hewett
Goady,Goady
Godric Borrell,Godric Borrell
Godry Farring,Godry Farring
Godwyn,Godwyn
Goghor,Goghor the Giant
Gold cloak officer,
Goodwife Maerie,Goodwife Maerie
Goodwin,Goodwin
Gormond Drumm,Gormond Drumm
Gormond Goodbrother,Gormond Goodbrother
Gorne,Gorne
Gorold Goodbrother,Gorold Goodbrother
Gorys Edoryen,Gorys Edoryen
Gowen Baratheon,Gowen Baratheon
Gran Goodbrother,Gran Goodbrother
Grand Maester Ellendor,Ellendor
Grand Maester Gerardys,Gerardys
Grand Maester Hareth,Hareth (Grand Maester)
Grand Maester Kaeth,Kaeth
Grand Maester Merion,Merion
grandfather of Sandor,
Grazdan 2,
Grazdan 3,
Grazdan 4,
Grazdan mo Eraz,Grazdan mo Eraz
Grazdan mo Ullhor,Grazdan mo Ullhor
Grazdan zo Galare,Grazdan zo Galare
Grazhar,Grazhar zo Galare
Greatjon Umber,Jon Umber
Green Gergen,Green Gergen
Gregor Clegane,Gregor Clegane
Grenn,Grenn
Gretchel,Gretchel
Grey Worm,Grey Worm
Greydon Goodbrother,Greydon Goodbrother
Grigg the Goat,Grigg the Goat
Grimtongue,Grimtongue
Grisel,Grisel
Grisella,Grisella
Groleo,Groleo
Grubbs,Grubbs
Grunt,Grunt
Gueren,Gueren
Gulian Swann,Gulian Swann
Guncer Sunglass,Guncer Sunglass
Gunthor,Gunthor
Gurn,Gurn
Guthor Grimm,Guthor Grimm
Guyard Morrigen,Guyard Morrigen
Gwayne Corbray,Gwayne Corbray
Gwayne Gaunt,Gwayne Gaunt
Gwin Goodbrother,Gwin Goodbrother
Gwynesse Harlaw,Gwynesse Harlaw
Gwyneth Yronwood,Gwyneth Yronwood
Gylbert Farwynd,Gylbert Farwynd
Gyleno Dothare,Gyleno Dothare
Gyles,Gyles
Gyles Belgrave,Gyles Belgrave
Gyles Grafton,Gyles Grafton
Gyles Rosby,Gyles Rosby
Gylo Rhegan,Gylo Rhegan
Gyloro Dothare,Gyloro Dothare
Gynir Rednose,Gynir Rednose
Gysella Goodbrother,Gysella Goodbrother
Haereg,Haereg
Hagen the Horn,Hagen the Horn
Haggo,Haggo
Haggon,Haggon
Hairy Hal,Hairy Hal
Hake,Hake
Hal Mollen,Hallis Mollen
Hal the Hog,Hal the Hog
Halder,Halder
Haldon,Haldon
Hali,Hali
Halleck,Halleck
Hallis Mollen,Hallis Mollen
Hallyne,Hallyne
Halys Hornwood,Halys Hornwood
Hamish the Harper,Hamish the Harper
Hammer,Hammer
Harghaz,Harghaz
Harlan Grandison,Harlan Grandison
Harlan Hunter,Harlan Hunter
Harle the Handsome,Harle the Handsome
Harle the Huntsman,Harle the Huntsman
Harlon Greyjoy,Harlon Greyjoy
Harlon Stark,Harlon Stark
Harma,Harma
Harman Uller,Harmen Uller
Harmen Uller,Harmen Uller
Harmond Umber,Harmond Umber
Harmund Sharp,Harmund Sharp
Harra,Harra
Harrag Hoare,Harrag Hoare
Harrag Sharp,Harrag Sharp
Harras Harlaw,Harras Harlaw
Harren Botley,Harren Botley
Harren Half-Hoare,Harren Half-Hoare
Harren Hoare,Harren Hoare
Harrion Karstark,Harrion Karstark
Harrold Hardyng,Harrold Hardyng
Harry Rivers,Harry Rivers
Harry Sawyer,Harry Sawyer
Harry Strickland,Harry Strickland
Harsley,Harsley
Harwin,Harwin
Harwood Fell,Harwood Fell
Harwood Stout,Harwood Stout
Harwyn Plumm,Harwyn Plumm
Harys Cobb,Harys Cobb
Harys Haigh,Harys Haigh
Harys Swyft,Harys Swyft
Hayhead,Hayhead
Hazrak the Handsome,Hazrak zo Loraq
Hazzea,Hazzea
Helly,Helly
Helman Tallhart,Helman Tallhart
Helya,Helya
Hempen Dan,Dan
Hendry Bracken,Hendry Bracken
Henk the Helm,Henk the Helm
Henly,
Herbert Bolling,Herbert Bolling
Hero,Hero
Heward,Heward
Hibald,Hibald
High Septon 0,
High Septon 1,
High Septon 2,
High Septon 3,
Hildy,Hildy
Hilmar Drumm,Hilmar Drumm
Hizdahr zo Loraq,Hizdahr zo Loraq
Hoarfrost Umber,Hoarfrost Umber
Hobb,Hobb Three-Finger
Hobber Redwyne,Hobber Redwyne
Hod,Hod
Hodor,Hodor
Hoke,Hoke
Holger,Holger
Holly,Holly
Hookface Will,Hookface Will
Hop-Bean,Hop-Bean
Hop-Robin,Hop-Robin
Horas Redwyne,Horas Redwyne
Horonno,Horonno
Horse,Hareth (Mole's Town)
Horton Redfort,Horton Redfort
Hosteen Frey,Hosteen Frey
Hoster Blackwood,Hoster Blackwood
Hoster Tully,Hoster Tully
Hot Harry Merrell,Harry Merrell
Hot Pie,Hot Pie
Hother Umber,Hother Umber
Hotho Harlaw,Hotho Harlaw
Howd Wanderer,Howd Wanderer
Howland Reed,Howland Reed
Hubard Rambton,Hubard Rambton
Hugh Beesbury,Hugh Beesbury
Hugh Clifton,Hugh Clifton
Hugh Grandison,Hugh Grandison
Hugh Hungerford,Hugh Hungerford
Hugh of the Vale,Hugh of the Vale
Hugo Vance,Hugo Vance
Hugo Wull,Hugo Wull
Hugor of the Hill,Hugor of the Hill
Hullen,Hullen
Humfrey Clifton,Humfrey Clifton
Humfrey Hewett,Humfrey Hewett
Humfrey Swyft,Humfrey Swyft
Humfrey Wagstaff,Humfrey Wagstaff
Humfrey Waters,Humfrey Waters
Husband,Husband
Hyle Hunt,Hyle Hunt
Iggo,Iggo
Illifer,Illifer
Illyrio Mopatis,Illyrio Mopatis
Ilyn Payne,Ilyn Payne
Imry Florent,Imry Florent
Inkpots,Tybero Istarion
innkeep of Lordsport,
Ironbelly,Ironbelly
Irri,Irri
Ithoke,Ithoke
Izembaro,Izembaro
Jace,Jace (Night's Watch)
Jacelyn Bywater,Jacelyn Bywater
Jack,
Jack Bulwer,Jack Bulwer
Jack Crabb,Jack Crabb
Jack Musgood,Jack Musgood
Jacks,Jacks
Jaehaerys I Targaryen,Jaehaerys I Targaryen
Jaehaerys II Targaryen,Jaehaerys II Targaryen
Jafer Flowers,Jafer Flowers
Jaggot,Jaggot
Jaime Lannister,Jaime Lannister
Jalabhar Xho,Jalabhar Xho
Jammos Frey,Jammos Frey
Janna Fossoway,Janna Tyrell
Janna Tyrell,Janna Tyrell
Janos Slynt,Janos Slynt
Jaqen H'ghar,Jaqen H'ghar
Jared Flowers,Jafer Flowers
Jared Frey,Jared Frey
Jaremy Rykker,Jaremy Rykker
Jarl,Jarl
Jarman Buckwell,Jarman Buckwell
Jason Mallister,Jason Mallister
Jasper Arryn,Jasper Arryn
Jasper Waynwood,Jasper Waynwood
Jate,Jate
Jate Blackberry,Jate Blackberry
Jax,Jax
Jayde,Jayde
Jeffory Mallister,Jeffory Mallister
Jeffory Norcross,Jeffory Norcross
Jennelyn Fowler,Jennelyn Fowler
Jenny of Oldstones,Jenny of Oldstones
Jeor Mormont,Jeor Mormont
Jeren,Jeren
Jeyne Darry,Jeyne Darry
Jeyne Farman,Jeyne Farman
Jeyne Fowler,Jeyne Fowler
Jeyne Heddle,Jeyne Heddle
Jeyne Poole,Jeyne Poole
Jeyne Swann,Jeyne Swann
Jeyne Targaryen,Jeyne Westerling (wife of Maegor I)
Jeyne Westerling,Jeyne Westerling
Jez,Jez
Jezhene,Jezhene
Jhaqo,Jhaqo
Jhiqui,Jhiqui
Jhogo,Jhogo
Joanna Lannister,Joanna Lannister
Jocelyn Swyft,Jocelyn Swyft
Jodge,Jodge
Joffrey Baratheon,Joffrey Baratheon
Jojen Reed,Jojen Reed
Jommo,Jommo
Jommy,Jommy
Jon Arryn,Jon Arryn
Jon Bettley,Jon Bettley
Jon Connington,Jon Connington
Jon Fossoway,Jon Fossoway
Jon Heddle,Jon Heddle
Jon Hollard,Jon Hollard
Jon Lynderly,Jon Lynderly
Jon Myre,Jon Myre
Jon Pox,Jon Pox
Jon Snow,Jon Snow
Jonelle Cerwyn,Jonelle Cerwyn
Jonos Bracken,Jonos Bracken
Jonothor Darry,Jonothor Darry
Jonquil,Jonquil
Jorah Mormont,Jorah Mormont
Joramun,Joramun
Jorelle Mormont,Jorelle Mormont
Jory Cassel,Jory Cassel
Joseth,Joseth
Josmyn Peckledon,Josmyn Peckledon
Joss,Joss
Joss Stilwood,Joss Stilwood
Joss the Gloom,Joss the Gloom
Josua Willum,Josua Willum
Joth,Joth Quickbow
Jothos Slynt,Jothos Slynt
Joy Hill,Joy Hill
Joyeuse Erenford,Joyeuse Erenford
Justin Massey,Justin Massey
Jyck,Jyck
Jynessa Blackmont,Jynessa Blackmont
Jyzene,Jyzene
Karlon Stark,Karlon Stark
Karyl Vance,Karyl Vance
Kasporio,Kasporio
Kedge,Kedge Whiteye
Kegs,Kegs
Kella,Kella
Kem,Kem
Kemmett Pyke,Kemmett Pyke
Kenned,Kenned the Whale
Kennet,Kennet (Flea Bottom)
Kennos,Kennos of Kayce
Kerwin,Kerwin
Ketter,Ketter
Kevan Lannister,Kevan Lannister
Kezmya,Kezmya Pahl
Khorane Sathmantes,Khorane Sathmantes
Khrazz,Khrazz
King Brandon Stark,Brandon Stark
King Cutthroat,King Cutthroat
King Jon Stark,Jon Stark
King Rickard Stark,Rickard Stark
King Rodrik Stark,Rodrik Stark
King Sherrit,Sherrit
King Theon Stark,Theon Stark
King Torrhen Stark,Torrhen Stark
knight in the spiked helm,
knight of solemn mien,
Knight of the Red Chicken,Knight of the Red Chicken
Kojja Mo,Kojja Mo
Korra,Korra
Koss,Koss
Kraznys mo Nakloz,Kraznys mo Nakloz
Kromm,Kromm
Kurleket,Kurleket
Kurz,Kurz
Kyle,Kyle
Kyle Royce,Kyle Royce
