NovelsName,NormalizedName
Addam Marbrand,Addam Marbrand
Addison Hill,Addison Hill
Adrack Humble,Adrack Humble
Aegon Frey,Aegon Frey (son of Stevron)
Aegon II Targaryen,Aegon II Targaryen
Aegon III Targaryen,Aegon III Targaryen
Aegon IV Targaryen,Aegon IV Targaryen
Aegon Targaryen,
Aegon The Conqueror,Aegon I Targaryen
Aegon the Conqueror,Aegon I Targaryen
Aegon V Targaryen,Aegon V Targaryen
Aegor Rivers,Aegor Rivers
Aelinor Targayren,Aelinor Penrose
Aemon Costayne,Aemon Costayne
Aemon Rivers,Aemon Rivers
Aemon Targaryen,Aemon Targaryen
Aemon the Dragonknight,Aemon Targaryen (son of Viserys II)
Aemond Targaryen,Aemond Targaryen
Aenar Targaryen,Aenar Targaryen
Aenys Frey,Aenys Frey
Aenys Targaryen,Aenys I Targaryen
Aerion Targaryen,Aerion Targaryen
Aeron Greyjoy,Aeron Greyjoy
Aerys I Targaryen,Aerys I Targaryen
Aerys II Targaryen,Aerys II Targaryen
Aethan,Aethan
Aewin Targaryen,
Aggar,Aggar
Aggo,Aggo
Aladale Wynch,Aladale Wynch
Alan of Rosby,Alan of Rosby
Alannys Harlaw,Alannys Harlaw
Alaric of Eysen,Alaric of Eysen
Alayaya,Alayaya
Albar Royce,Albar Royce
Albett,Albett
Alebelly,Alebelly
Alerie Hightower,Alerie Hightower
Alesander Frey,Alesander Frey
Alesander Staedmon,Alesander Staedmon
Alesandor Torrent,Alesandor Torrent
Alester Florent,Alester Florent
Alester Oakheart,Alester Oakheart
Alf of Runnymudd,Alf of Runnymudd
Alfyn Crowkiller,Alfyn Crowkiller
Alia of Bravos,Alia of Braavos
Alio,Alios Qhaedar
Alla Tyrell,Alla Tyrell
Allaquo,Allaquo
Allar Deem,Allar Deem
Allard Seaworth,Allard Seaworth
Alleras,Alleras
Alliser Thorne,Alliser Thorne
Allyria Dayne,Allyria Dayne
Alvyn Sharp,Alvyn Sharp
Alyce,Alyce
Alyce Graceford,Alyce Graceford
Alyn,Alyn
Alyn Ambrose,Alyn Ambrose
Alyn Connington,Alyn Connington
Alyn Hunt,Alyn Hunt
Alyn Orkwood,Alyn Orkwood
Alyn Stackspear,Alyn Stackspear
Alyn Velaryon,Alyn Velaryon
Alynne Connington,Alynne Connington
Alys Karstark,Alys Karstark
Alys Waynwood,Alys Arryn
Alysane Mormont,Alysane Mormont
Alysanne Bulwer,Alysanne Bulwer
Alysanne Targaryen,Alysanne Targaryen
Alysanne Tarth,Alysanne of Tarth
Alyse Ladybright,Alyse Ladybright
Alyssa Arryn,Alyssa Arryn
Alyssa Blackwood,Alyssa Blackwood
Alyx Frey,Alyx Frey
Amabel,Amabel
Amarei Crakehall,Amarei Crakehall
Ambrode,Ambrode
Ambrose Butterwell,Ambrose Butterwell
Amerei Frey,Amerei Frey
Ami Frey,Amerei Frey
Amory Lorch,Amory Lorch
Andar Royce,Andar Royce
Anders Yronwood,Anders Yronwood
Andrew Estermont,Andrew Estermont
Andrey Charlton,Andrey Charlton
Andrey Dalt,Andrey Dalt
Andrik,Andrik
Andros Brax,Andros Brax
Anguy,Anguy
Antario Jast,Antario Jast
Anvil Ryn,Anvil Ryn
Anya Waynwood,Anya Waynwood
Archibald Yronwood,Archibald Yronwood
Archmaester Benedict,Benedict
Archmaester Ebrose,Ebrose
Archmaester Mollos,Mollos
Archmaester Perestan,Perestan
Archmaester Rigney,Rigney
Archmaester Ryam,Ryam
Archmaester Vaellyn,Vaellyn
Archmaester Walgrave,Walgrave
Ardrian Celtigar,Ardrian Celtigar
Areo Hotah,Areo Hotah
Arianne Martell,Arianne Martell
Arianne Tarth,Arianne Tarth
Armen,Armen
Armond Connington,Armond Connington
Arnolf Karstark,Arnolf Karstark
Aron Santagar,Aron Santagar
Arron,Arron
Arron Qorgyle,Arron Qorgyle
Arryk,Arryk
Arryk Cargyll,Arryk Cargyll
Arson Iceaxe,Arson Iceaxe
