"Name","X","Y"
"Arya Stark",-375.84915,-358.53513
"Bran Stark",-215.60524,481.60083
"Catelyn Stark",128.568,253.35892
"Cersei Lannister",314.46,-433.2317
"Daenerys Targaryen",551.1633,16.644371
"Eddard Stark",-160.66707,217.78052
"Jaime Lannister",76.51696,-505.54233
"Joffrey Baratheon",-269.3794,-35.779434
"Jon Snow",161.19884,-212.4413
"Jorah Mormont",454.22598,269.8545
"Varys",-105.50183,-250.05147
"Petyr Baelish",286.0196,30.907911
"Robb Stark",-417.9272,325.09198
"Robert I Baratheon",24.19878,507.849
"Sandor Clegane",5.4513364,10.807261
"Sansa Stark",-171.97244,-508.39526
"Stannis Baratheon",283.20215,471.48563
"Theon Greyjoy",-509.1429,100.09615
"Tyrion Lannister",457.18027,-225.38374
"Tywin Lannister",-515.8355,-156.18475
