TvShowName,NormalizedName,TODO
Addam Marbrand,Addam Marbrand,
Adrack Humble,Adrack Humble,
Aeron Greyjoy,Aeron Greyjoy,
Aerys Targaryen,Aerys Targaryen,
Aggo,Aggo,
Akho,Aggo,">> could not find this one, I suggest deleting (possibly a stuntman from the show) -> fixed, it was a typo"
Alliser Thorne,Alliser Thorne,
Alton Lannister,Alton Lannister,
Alys Karstark,Alys Karstark,
Amory Lorch,Amory Lorch,
Anara,Anara,
Anguy,Anguy,
Anya Waynwood,Anya Waynwood,
Archmaester Ebrose,Ebrose,
Areo Hotah,Areo Hotah,
Armeca,Armeca,
Arthur,Arthur,
Arthur Dayne,Arthur Dayne,
Arya Stark,Arya Stark,
Ash,Ash,
Axell Florent,Axell Florent,
Aya,Aya,
Baby Jon Snow,Jon Snow,>> merge with adult version
Baby Sam,Samwell Tarly,>> merge with adult version
Balon Greyjoy,Balon Greyjoy,
Bannen,Bannen,
Baratheon General,,
Baratheon Soldier #1,,
Baratheon Soldier #2,,
Barra,Barra,
Barristan Selmy,Barristan Selmy,
Bathhouse Prostitute,,
Bear Island Maester,,
Beggar Woman,,
Belicho Paenymion,Belicho Paenymion,
Benjen Stark,Benjen Stark,
Beric Dondarrion,Beric Dondarrion,
Bernadette,Bernadette,
Bianca,Bianca,
Biter,Biter,
Black Jack Bulwer,Black Jack Bulwer,
Black Lorren,Black Lorren,
Black Walder Rivers,Walder Rivers,
Boat Commander,,
Bobono,Bobono,
Bolton General,,
Bolton Guard,,
Bolton Officer,,
Bolton Soldier,,
Bowen Marsh,Bowen Marsh,
Braavosi Captain,,
Braavosi Madam,,
Braavosi Theatre Server,,
Braavosi Theatre Sound Artist,,
Braavosi Woman #1,,
Braavosi Woman #2,,
Bran Stark,Bran Stark,
Brant,Brant,
Brea,Brea,
Brienne of Tarth,Brienne of Tarth,
Bronn,Bronn,
Brothel Child #1,,
Brothel Child #2,,
Brothel Customer,,
Brothel Guard,,
Brother Ray,Ray,
Brusco,Brusco,
Brynden Tully,Brynden Tully,
Camello,Camello,
Captain's Daughter,,
Captain of the Archers,,
Catelyn Stark,Catelyn Stark,
Catspaw Assassin,Catspaw,
Cersei Lannister,Cersei Lannister,
Chella,Chella,
Citadel Maester,,
Clarenzo,Clarenzo,
Clea,Clea,
Cley Cerwyn,Cley Cerwyn,
Colen of Greenpools,Colen of Greenpools,
Cooper,Cooper,
Craster,Craster,
Craster's Wife,,
Craster's Wife #2,,
Craster's Wife #3,,
Craster's Younger Wife,,
Craya,Craya,
Daario Naharis,Daario Naharis,
Daenerys Targaryen,Daenerys Targaryen,
Dagmer Cleftjaw,Dagmer Cleftjaw,
Daisy,Daisy,
Davos Seaworth,Davos Seaworth,
Denys Mallister,Denys Mallister,
Derek,Derek,
Desmond Crakehall,Desmond Crakehall,
Despondent Man,,
Dickon Tarly,Dickon Tarly,
Dim Dalba,Dim Dalba,
Dirah,Dirah,
Dongo the Giant,Dongo,
Donnel Hill,Donnel Hill,
Donnel Waynwood,Donnel Waynwood,
Dontos Hollard,Dontos Hollard,
Doran Martell,Doran Martell,
Doreah,Doreah,
Dornish Lord,,
Dothraki Bloodrider #1,,
Dothraki Bloodrider #2,,
Dothraki Crone,Dothraki Crones,
Dothraki Man Having Sex,,
Dothraki Widow #1,,
Dothraki Widow #2,,
Dothraki Woman Having Sex,,
Drennan,Drennan,
Drogon,Drogon,
Drowned Priest,,
Dwarf Hunter #1,,
Dwarf Hunter #2,,
Eddard Stark,Eddard Stark,
Eddison Tollett,Eddison Tollett,
Edmure Tully,Edmure Tully,
Elder Meereen Slave,,
Eldrick Sarsfield,Eldrick Sarsfield,
Eleanor,Eleanor Swann,
Eleanor's Daughter,,
Ellaria Sand,Ellaria Sand,
Euron Greyjoy,Euron Greyjoy,
Eyrie Guard,,
Faceless Man,,
Faith Militant #1,,
Faith Militant #2,,
Farlen,Farlen,
Farmer's Daughter,,
Farmer Hamlet,,
Fennesz,Fennesz,
Fergus,Fergus,
First Mate,,
Frances,Frances,
Frey Guard,,
Frey Soldier #1,,
Frey Soldier #2,,
Fruit Vendor,,
Gared,Gared,
Gatins,Gatins,
Gendry,Gendry,
Genna,Genna,
Gerold Hightower,Gerold Hightower,
