ComicsName,NormalizedName
Aegon Targaryen,Aegon I Targaryen
Aenys Frey,Aenys Frey
Aeron Greyjoy,Aeron Greyjoy
Aerys Targaryen,Aerys Targaryen
Aggar,Aggar
Aggo,Aggo
Alayaya,Alayaya
Albett Pimple,Albett
Alebelly,Alebelly
Alester Florent,Alester Florent
Allard Seaworth,Allard Seaworth
Alliser Thorne,Alliser Thorne
Alyn,Alyn
Amabel,Amabel
Amory Lorch,Amory Lorch
Andar Royce,Andar Royce
Aron Santagar,Aron Santagar
Arthur Dayne,Arthur Dayne
Arya Stark,Arya Stark
Arys Oakheart,Arys Oakheart
Asha Greyjoy,Asha Greyjoy
Bael the Bard,Bael the Bard
Balon Greyjoy,Balon Greyjoy
Balon Swann,Balon Swann
Barra,Barra
Barristan Selmy,Barristan Selmy
Bedwyck Giant,Bedwyck
Benfred Tallhart,Benfred Tallhart
Benjen Stark,Benjen Stark
Beric Dondarrion,Beric Dondarrion
Beth Cassel,Beth Cassel
Big Walder Frey,Walder Frey (son of Jammos)
Biter,Biter
Black Lorren,Black Lorren
Boros Blount,Boros Blount
Bowen Marsh,Bowen Marsh
Bran Stark,Bran Stark
Brandon Stark,Brandon Stark
Brandon Tallhart,Brandon Tallhart
Bronn,Bronn
Bryce Caron,Bryce Caron
Brynden Tully,Brynden Tully
Cadwyn,Cadwyn
Catelyn Stark,Catelyn Stark
Cersei Lannister,Cersei Lannister
Chataya,Chataya
Chella,Chella
Chett,Chett
Chiswyck,Chiswyck
Cleos Frey,Cleos Frey
Cley Cerwyn,Cley Cerwyn
Colen of Greenpools,Colen of Greenpools
Conn,Conn
Cortnay Penrose,Cortnay Penrose
Craster,Craster
Crawn,Crawn
Cutjack,Cutjack
Daenerys Targaryen,Daenerys Targaryen
Dagmer Cleftjaw,Dagmer
Dancy,Dancy
Dareon,Dareon
Davos Seaworth,Davos Seaworth
Desmond Grell,Desmond Grell
Devan Seaworth,Devan Seaworth
Dickon Tarly,Dickon Tarly
Donal Noye,Donal Noye
Donella Hornwood,Donella Hornwood
Donnel Waynwood,Donnel Waynwood
Dontos Hollard,Dontos Hollard
Doreah,Doreah
Dour Eddison Tollett,Eddison Tollett
Drogo,Drogo
Dywen,Dywen
Ebben,Ebben
Eddard Stark,Eddard Stark
Edmure Tully,Edmure Tully
Elia Martell,Elia Martell
Endrew Tarth,Endrew Tarth
Eon Hunter,Eon Hunter
Falyse Stokeworth,Falyse Stokeworth
Farlen,Farlen
Flement Brax,Flement Brax
Gared,Gared
Gariss,Gariss
Garlan Tyrell,Garlan Tyrell
Gelmarr,Gelmarr
Gendry,Gendry
Gerold Hightower,Gerold Hightower
Gilly,Gilly
Gladden Wylde,Gladden Wylde
Godwyn,Godwyn
Gregor Clegane,Gregor Clegane
Grenn Aurochs,Grenn
Guncer Sunglass,Guncer Sunglass
Gunthor,Gunthor
Guyard Morrigen,Guyard Morrigen
Gynir Rednose,Gynir
Halder Stone Head,Halder
Hali,Hali
Hallis Mollen,Hallis Mollen
Hallyne,Hallyne
Harra,Harra
Harrag Sharp,Harrag Sharp
Harrion Karstark,Harrion Karstark
Harys Swyft,Harys Swyft
Helman Tallhart,Helman Tallhart
Hobb Three-Finger,Hobb
