ComicsName,NormalizedName
Hobber Redwyne,Hobber Redwyne
Hodor,Hodor
Hoster Tully,Hoster Tully
Hot Pie,Hot Pie
Hother Umber,Hother Umber
Howland Reed,Howland Reed
Hubard Rambton,Hubard Rambton
Hugh of the Vale,Hugh
Illyrio Mopatis,Illyrio Mopatis
Ilyn Payne,Ilyn Payne
Ironbelly,Ironbelly
Irri,Irri
Jacelyn Bywater,Jacelyn Bywater
Jafer Flowers,Jafer Flowers
Jaggot,Jaggot
Jaime Lannister,Jaime Lannister
Jalabhar Xho,Jalabhar Xho
Janos Slynt,Janos Slynt
Jaqen H'ghar,Jaqen H'ghar
Jarman Buckwell,Jarman Buckwell
Jason Mallister,Jason Mallister
Jeor Mormont,Jeor Mormont
Jeyne Poole,Jeyne Poole
Jhiqui,Jhiqui
Jhogo,Jhogo
Joffrey Baratheon,Joffrey Baratheon
Jojen Reed,Jojen Reed
Jon Snow,Jon Snow
Jon Umber,Jon Umber
Jonos Bracken,Jonos Bracken
Jorah Mormont,Jorah Mormont
Jory Cassel,Jory Cassel
Joseth,Joseth
Joss,Joss
Joyeuse Erenford,Joyeuse Erenford
Karyl Vance,Karyl Vance
Kenned the Whale,Kenned the Whale
Kevan Lannister,Kevan Lannister
Kromm,Kromm
Lancel Lannister,Lancel Lannister
Lark the Sisterman,Lark
Little Walder Frey,Walder Frey (son of Merrett)
Lollys Stokeworth,Lollys Stokeworth
Lommy Greenhands,Lommy Greenhands
Loras Tyrell,Loras Tyrell
Lord of Bones,Lord of Bones
Lord Varys,Varys
Lothar Frey,Lothar Frey
Lothor Brune,Lothor Brune
Lucan,Lucan
Lyanna Stark,Lyanna Stark
Lynesse Hightower,Lynesse Hightower
Lysa Arryn,Lysa Arryn
Mace Tyrell,Mace Tyrell
Maege Mormont,Maege Mormont
Maester Aemon,Aemon Targaryen (son of Maekar I)
Maester Ballabar,Ballabar
Maester Cressen,Cressen
Maester Luwin,Luwin
Maester Pycelle,Pycelle
Maester Pylos,Pylos
Maester Vyman,Vyman
Mago,Mago
Mandon Moore,Mandon Moore
Margaery Tyrell,Margaery Tyrell
Marillion,Marillion
Marq Piper,Marq Piper
Mathis Rowan,Mathis Rowan
Matthar,Matthar
Meera Reed,Meera Reed
Melessa Florent,Melessa Florent
Melisandre of Asshai,Melisandre
Mikken,Mikken
Mirri Maz Duur,Mirri Maz Duur
Mord,Mord
Mors Umber,Mors Umber
Murch_2.5,Murch
Murch_48.19,Murch (Winterfell)
Mya Stone,Mya Stone
Mycah,Mycah
Myrcella Baratheon,Myrcella Baratheon
Nestor Royce,Nestor Royce
Nymeria,Nymeria
Old Nan,Nan
Orell,Orell
Osha,Osha
Osmund Kettleblack,Osmund Kettleblack
Osney Kettleblack,Osney Kettleblack
Oswell Whent,Oswell Whent
Othor,Othor
Parmen Crane,Parmen Crane
Patchface,Patchface
Patrek Mallister,Patrek Mallister
Petyr Baelish,Petyr Baelish
Mebble Pinkeye,Mebble
Podrick Payne,Podrick Payne
Polliver,Polliver
Poxy Tym,Poxy Tym
Pyat Pree,Pyat Pree
Pypar Pyp Monkey,Pypar
Qhorin Halfhand,Qhorin Halfhand
Quaithe of the Shadow,Quaithe
Quhuru Mo,Quhuru Mo
Rafford,Rafford
Ragwyle,Ragwyle
Rakharo,Rakharo
Ramsay Bolton,Ramsay Snow
Randyll Tarly,Randyll Tarly
Rast Rat,Rast
Raymun Darry,Raymun Darry
Red Rolfe,Red Rolfe
Renly Baratheon,Renly Baratheon
Rhaegar Targaryen,Rhaegar Targaryen
Rhaego Targaryen,Rhaego
Rhaenys Targaryen,Rhaenys Targaryen (daughter of Rhaegar)
Rhaenys Targaryen I,Rhaenys Targaryen
Rickard Karstark,Rickard Karstark
Rickard Stark,Rickard Stark
Rickon Stark,Rickon Stark
Robar Royce,Robar Royce
Robb Stark,Robb Stark
Robert Arryn,Robert Arryn
Robert Baratheon,Robert I Baratheon
Robett Glover,Robett Glover
Robin Ryger,Robin Ryger
Rodrik Cassel,Rodrik Cassel
Roose Bolton,Roose Bolton
Rorge,Rorge
Rymund the Rhymer,Rymund the Rhymer
Salladhor Saan,Salladhor Saan
Salloreon,Salloreon
Samwell Tarly,Samwell Tarly
Sandor Clegane,Sandor Clegane
Sansa Stark,Sansa Stark
Selyse Florent,Selyse Florent
Septa Eglantine,Eglantine
Septa Mordane,Mordane
Septon Barre,Barre
Septon Cellador,Cellador
Septon Chayle,Chayle
Shae,Shae
Shagga,Shagga
Shagwell the Fool,Shagwell
Shireen Baratheon,Shireen Baratheon
Shitmouth,Shitmouth
Squire Dalbridge,Dalbridge
Stannis Baratheon,Stannis Baratheon
Stevron Frey,Stevron Frey
Stiv,Stiv
Stonesnake,Stonesnake
Strong Belwas,Belwas
Stygg,Stygg
Symon Silver Tongue,Symon Silver Tongue
Syrio Forel,Syrio Forel
Tanda Stokeworth,Tanda Stokeworth
The Tickler,The Tickler
Theon Greyjoy,Theon Greyjoy
Thoren Smallwood,Thoren Smallwood
Thoros of Myr,Thoros of Myr
Timett,Timett
Tobho Mott,Tobho Mott
Todder Toad,Todder
Tommen Baratheon,Tommen Baratheon
Torrek,Torrek
Torrhen Karstark,Torrhen Karstark
Tymor,Tymor
Tyrion Lannister,Tyrion Lannister
Tysha,Tysha
Tytos Brax,Tytos Brax
Tywin Lannister,Tywin Lannister
Ulf the Ill,Ulf the Ill
Urzen,Urzen
Utherydes Wayn,Utherydes Wayn
Vardis Egen,Vardis Egen
Vargo Hoat,Vargo Hoat
Victarion Greyjoy,Victarion Greyjoy
Visenya Targaryen,Visenya Targaryen
Viserys Targaryen,Viserys Targaryen
Vylarr,Vylarr
Walder Frey,Walder Frey
Wallen,Wallen
Waymar Royce,Waymar Royce
Weese,Weese
Wendel Manderly,Wendel Manderly
Werlag,Werlag
Wex Pyke,Wex Pyke
Will_1.3,Will
Willem Darry,Willem Darry
Woth,Woth
Wylis Manderly,Wylis Manderly
Wyman Manderly,Wyman Manderly
Xaro Xhoan Daxos,Xaro Xhoan Daxos
Ygritte,Ygritte
Yoren,Yoren
