"Name","X","Y"
"Brynden Rivers",-130.2193,191.99113
"Brynden Tully",-568.1422,102.51162
"Cadwyn",-1232.5994,-920.9523
"Captain's daughter_30.13",-856.1854,1322.0862
"Captain_30.13",-1091.0592,1130.2728
"Castle children_26.13",-166.30702,1022.5167
"Cat_10.14",-20.451073,-820.3151
"Catelyn Stark",-575.783,-76.50573
"Catspaw",-894.0956,544.87946
"Cersei Lannister",221.57336,-249.19409
"Cerwyn men_33.12",-1119.7391,714.1713
"Chataya",1217.4862,284.63757
"Chataya's prostitute_12.25",-800.1035,583.0251
"Chella",434.96353,404.21887
"Chett",1098.5138,671.7368
"Child of the forest_23.10",180.04845,1573.1213
"Children of the forest_23.10.2",35.34364,1578.8417
"Children of the forest_23.10.3",106.47603,1495.8961
"Children_46.5",-780.50867,-720.1341
"Chiswyck",-1150.2261,-386.3212
"Clansmen_10.8",-259.1292,-105.53415
"Clansmen_13.22",831.9564,396.92624
"Clansmen_21.11",850.9969,289.85205
"Clansmen_21.5",446.9132,978.6556
"Clansmen_27.13",886.75183,-211.446
"Clansmen_49.4",1146.6208,367.19568
"Clegane's squire_9.25",-1339.5624,-90.24912
"Cleos Frey",-51.335785,232.15886
"Cley Cerwyn",-804.76807,794.3353
"Clients_28.5",-1030.3088,11.62306
"Clients_40.8",1271.4371,388.7131
"Clients_5.14",-1232.2993,313.87012
"Clients_6.17",281.53394,593.89087
"Clients_9.4",-268.10602,9.954079
"Cohollo",632.36084,-1133.6752
"Colen of Greenpools",-459.5167,-609.8089
"Conn",533.0979,552.8305
"Cook_39.24",-854.5261,-1299.0415
"Cook_8.19",1382.8616,482.62988
"Cooks_47.19",-926.7036,-969.1212
"Cortnay Penrose",-8.481284,-1301.1559
"Craster",998.23004,1101.3317
"Craster's wife_35.13",1048.2999,1000.0342
"Craster's wife_35.14",781.48083,1137.6671
"Crawn",738.4826,211.34633
"Crowd_16.24",-759.8215,-1333.915
"Crowd_18.14",505.9248,-570.5692
"Crowd_21.23.1",-366.66724,-1146.7406
"Crowd_21.23.2",-590.3378,-1159.84
"Crowd_21.25.1",-412.41846,-1251.1692
"Crowd_21.25.2",-470.1982,-1341.9406
"Crowd_21.26.1",-325.76096,-1330.5023
"Crowd_21.26.2",-75.64042,-496.83066
"Crowd_27.21",-539.18256,-283.74698
"Crowd_29.13",201.74701,-1226.5529
"Crowd_33.17",593.6662,-816.7048
"Crowd_33.4",-1429.661,665.44824
"Crowd_35.4",-1139.9918,1029.437
"Crowd_36.8",624.24927,865.7805
"Crowd_38.10",1375.0723,-572.52325
"Crowd_41.5",593.42615,-176.54465
"Crowd_43.11",-95.30515,-977.36206
"Crowd_43.13",350.2141,-418.13983
"Crowd_44.4",1233.8564,-375.48672
"Crowd_44.7",1427.2461,-344.63934
"Crowd_46.11",-1512.1792,431.85724
"Crowd_47.13",-1063.2537,-968.32367
"Crowd_48.19",-759.7586,1128.7377
"Crowd_49.5",1376.9585,175.96976
"Crowd_49.9",154.47423,-982.1275
"Crowd_5.13",-1242.9084,222.81567
"Crowd_51.15",1044.0648,-557.17786
"Crowd_51.17",922.59827,-544.3365
"Crowd_52.6",110.0231,-872.569
"Crowd_54.17",215.04536,-725.9515
"Crowd_7.12",-416.8798,-230.42194
"Crowd_8.28",-791.76544,475.22467
"Crowd_9.24",-113.48599,-259.4735
"Crowd_9.8",-266.35645,-392.98734
"Cutjack",-806.5782,-294.87573
"Daenerys's khalasar_31.12",1375.7671,-745.2675
"Daenerys Targaryen",1058.8801,-679.7004
"Dagmer Cleftjaw",-696.86694,1405.4524
"Dancy",1282.6302,197.15353
"Dareon",969.29456,873.34247
"Davos Seaworth",76.41538,-1153.4286
"Desmond Grell",-943.14026,-631.693
"Devan Seaworth",-179.7444,-1262.0763
"Dickon Tarly",1493.0929,492.41617
"Donal Noye",860.01776,598.0323
"Donella Hornwood",-1002.2118,710.5906
"Donnel Waynwood",-364.52063,-19.991457
"Dontos Hollard",546.35345,-362.73697
"Doreah",977.1547,-967.62683
"Dothraki_20.4.1",1557.5323,-64.01432
"Dothraki_20.4.2",1499.4089,-419.4769
"Dothrakis_11.22",637.5779,-1228.6094
"Dothrakis_11.26",1301.659,-269.45288
"Dothrakis_15.22",677.04553,-1326.0312
"Dothrakis_15.27",1038.8391,-1180.1903
"Dothrakis_20.3",704.6466,-1044.3234
"Dothrakis_20.9",757.53046,-737.66614
"Dothrakis_22.19",-342.1658,-1546.2954
"Dothrakis_22.26",534.39655,-1101.8702
"Dothrakis_23.24",1179.8944,-896.02606
"Dothrakis_23.27",595.31,-1024.4171
"Dothrakis_3.24",856.9405,-1164.012
"Dothrakis_31.14",1286.986,-473.15005
"Dothrakis_44.4",1394.0223,-465.94174
"Dothrakis_51.15",1166.035,-480.1
"Dothrakis_6.21",1180.96,-1013.77747
"Eddison Tollett",597.4985,1205.6211
"Drogo",814.0939,-1062.781
"Drogo's men_30.1",748.79584,-1232.5616
"Drogon",1134.3033,-573.77985
"Dywen",996.62317,677.6654
"Ebben",485.84018,1229.5112
"Eddard Stark",64.48404,246.97299
"Edmure Tully",-803.1022,103.1432
"Elia Martell",1189.5332,-254.77586
"Endrew Tarth",1177.4258,995.3919
"Eon Hunter",-389.0799,262.20398
"Falyse Stokeworth",463.40894,-436.53043
"Farlen",-405.27927,826.65247
"Farmers_5.9",268.4329,-979.8301
"Firemage_44.7",1338.1754,-363.87354
"First man_23.10",336.7251,1547.8296
"First men_23.10.1",-185.3993,1570.6951
"First men_23.10.2",-6.892946,1469.5475
"Flement Brax",406.18137,513.07074
"Frey's court_19.21",-1413.4584,114.623184
"Frey men_19.20",-1223.8093,115.520905
"Frey men_9.6",-149.21117,89.61614
"Freys_54.5",-1369.5946,-211.82503
"Gared",16.261322,821.0339
"Gariss",-817.77875,941.02545
"Garlan Tyrell",138.26952,-644.97473
"Gelmarr",-708.901,1260.9773
"Gendry",-711.4432,-223.2174
"Gerold Hightower",112.941734,1032.3269
"Ghost",229.27808,706.05426
"Gilly",773.04395,1363.3679
"Girl_13.3",80.45435,21.617018
"Gladden Wylde",199.23016,0.85323936
"Godwyn",-193.2065,-831.466
"Gold cloacks_50.8",936.94885,-326.71823
"Gold cloacks_54.17",227.48795,-631.47754
"Gold cloaks_16.23",-781.9114,-1103.1233
"Gold cloaks_21.23",-674.8732,-1049.1816
"Gold cloaks_21.27",-131.62173,-556.377
"Gold cloaks_28.10",-868.5036,-102.449
"Gold cloaks_29.6",987.6556,168.34113
"Gold cloaks_49.4",1070.7142,130.44627
"Gold cloaks_5.15",-1374.972,314.15326
"Gregor Clegane",-322.32877,-201.0729
"Grenn",681.287,755.93854
"Grey Wind",-395.8158,498.40067
"Greyjoy men_42.12",-1213.8368,951.0245
"Greyjoy men_47.8",-481.7354,1082.7478
"Greyjoy men_48.19",-889.7455,991.67676
"Greyjoy men_55.15",-366.46515,1284.3048
"Guard_10.14",-109.785515,-865.1959
"Guard_42.21",-236.96045,-1148.7948
"Guard_50.17",-761.6341,-812.8878
"Guard_54.14",-557.10986,-1060.0903
"Guards_11.16",-672.02997,-696.3395
"Guards_17.27",1269.2118,-944.83075
"Guards_21.24",-1457.1187,-475.59222
"Guards_23.23",1454.6412,1.6534252
"Guards_3.8",50.11574,339.1513
"Guards_33.18",459.88797,-851.33765
"Guards_37.18",443.48184,291.58023
"Guards_40.19",-512.07526,-833.1494
"Guards_47.20",-1283.9669,-761.244
"Guards_5.21",-145.46887,-85.94039
"Guards_52.6",208.37843,-882.81726
"Guests_2.12",93.860695,466.8127
"Guests_35.5",-290.6838,890.0531
"Guests_36.20",-314.8847,-626.42755
"Guests_37.10",-1327.3047,773.05786
"Guests_51.11",-85.86811,682.9967
"Guests_55.7",40.509773,-454.67944
"Guncer Sunglass",1346.1489,-162.00575
"Gunthor",787.5309,501.06677
"Guyard Morrigen",-106.79563,-1195.991
"Gynir Rednose",-790.9647,1035.4672
"Haggo",748.12823,-1133.0791
"Halder",565.4737,694.2949
"Hali",-690.4159,626.52106
"Hallis Mollen",-414.2311,-459.134
"Hallyne",468.3747,778.3356
"Harra",-1013.1886,-1171.0707
"Harrag Sharp",-573.45605,1241.17
"Harrion Karstark",-281.3735,1108.6447
"Harys Swyft",186.16873,289.64853
"Helman Tallhart",-978.54944,1118.9453
"High Septon_27.1",29.062595,-552.79114
"High Sparrow",516.7252,882.6346
"Hobb Three-Finger",909.38367,792.4502
"Hobber Redwyne",389.8838,-776.87695
"Hodor",-350.52954,771.5456
"Host_39.15",-620.2581,-931.72833
"Host_49.20",130.43117,1269.6364
"Hoster Tully",-705.35547,-340.96423
"Hot Pie",-910.6895,-280.66507
"Hother Umber",-199.95149,1361.1688
"Howland Reed",107.32984,935.0023
"Hubard Rambton",514.76294,-1241.9652
"Illyrio's men_1.29",853.62006,-1266.5116
"Illyrio Mopatis",554.7088,-912.9596
"Ilyn Payne",114.169075,-382.53265
"Innkeeper_28.5",-1126.3522,-162.12735
"Innkeeper_9.4",-217.01303,254.43518
"Ironbelly",1238.9724,73.86033
"Irri",907.2127,-895.7867
"Jacelyn Bywater",547.2868,249.17169
"Jafer Flowers",1205.6881,732.9405
"Jaggot",885.4518,472.27615
"Jailer_18.24",200.142,1090.4955
"Jaime Lannister",-53.274384,25.563578
"Jalabhar Xho",356.39682,-588.1898
"Janos Slynt",472.3776,-168.04276
"Jaqen H'ghar",-957.23413,-538.121
"Jarman Buckwell",987.12177,1205.7719
"Jason Mallister",-1099.6533,491.24084
"Jeor Mormont",744.63586,870.8155
"Jeyne Poole",-185.88997,-442.29922
"Jhiqui",990.99994,-875.13745
"Jhogo",1052.6322,-746.1378
"Joffrey Baratheon",168.13066,-211.17105
"Jojen Reed",-591.33466,784.14844
"Jon Snow",396.93356,714.33026
"Jon Umber",-882.87164,292.79712
"Jonos Bracken",-1026.2482,240.50858
"Jorah Mormont",966.32947,-782.45575
"Jory Cassel",-61.236458,319.3527
"Joseth",-673.7327,1178.5365
"Joss",136.0158,91.680855
"Joyeuse Erenford",-1358.2365,196.5024
"Jugglers_35.8",-268.44928,982.94946
"Karstark men_17.16",-918.6403,858.45514
"Karyl Vance",-29.077473,-143.5532
"Kenned the Whale",-604.5504,1321.9843
"Kevan Lannister",447.56342,187.72318
"King's soldiers_2.1",1307.3076,558.64734
"King's stewart_16.7",604.90204,57.9718
"Kingsguard_18.14",574.2063,-519.4758
"Kingsguards_2.3",702.19403,454.8579
"Kingsguards_26.17",449.3268,-704.28723
"Kingsguards_34.8",776.7419,-515.2124
"Kingsguards_41.10",774.92993,-214.89813
"Kingsguards_52.4",742.38495,-339.29648
"Knight from the Vale_9.10",-182.37329,-672.12744
"Knight_11.13",-844.23804,-878.38116
"Knight_36.17",-522.07965,-421.51077
"Knights_9.28",-827.5493,-2.243026
"Kromm",-470.337,1289.8253
"Kyra",-900.94104,761.46265
"Lady",-38.101017,125.91394
"Lancel Lannister",455.18198,-362.08133
"Lannister guard_19.11",658.9314,256.9654
"Lannister man_19.14",667.0575,150.27538
"Lannister men_12.27",191.48128,402.33124
"Lannister men_16.16",-47.77821,-1073.6051
"Lannister men_16.3",-587.3455,-3.3101256
"Lannister men_18.11",1224.7937,-139.29878
"Lannister men_19.6",369.57242,603.5694
"Lannister men_21.11",945.00995,259.85355
"Lannister men_21.5",-627.8511,294.50336
"Lannister men_23.13",239.09244,223.59146
"Lannister men_23.15",-141.54524,1474.1029
"Lannister men_23.21",1331.9631,299.11298
"Lannister men_27.21",394.81122,868.71405
"Lannister men_27.3",-522.7457,-188.1194
"Lannister men_34.19",-1109.0493,-281.60413
"Lannister men_39.22",-1353.4218,-609.07007
"Lannister men_42.23",-102.56332,-744.94586
"Lannister men_43.13",265.69653,-511.8371
"Lannister men_46.7",-996.20233,-725.6362
"Lannister men_47.23",-997.9182,-892.32495
"Lannister men_51.4",696.5612,-420.7428
"Lannister men_52.11",202.0091,-1095.027
"Lannister men_53.10",1091.3173,-173.86331
"Lannister men_9.5",-231.49988,119.93978
"Lark the Sisterman",1531.1227,349.88834
"Last hero",-507.00647,1507.5806
"Last Hero's companions_7.23",-278.69067,1524.3314
"Walder Frey (son of Merrett)",-548.96906,920.4566
"Lollys Stokeworth",442.711,-252.87587
"Lommy Greenhands",-994.5714,-318.88876
"Loras Tyrell",-87.70271,-386.631
"Lorch's men_39.19",-1178.2706,-624.2568
"Lorch men_32.16",-757.8227,-482.71976
"Lord of Bones",215.623,1228.5944
"Varys",269.10452,-150.31184
"Lothar Frey",306.94852,32.55953
"Lothor Brune",615.25354,-660.6709
"Lucan",-688.9137,-1155.205
"Lucas_39.15",-517.3055,-945.8504
"Lyanna Stark",72.01324,612.56396
"Lysa Arryn",-484.83612,198.26581
"Mace Tyrell",54.815056,-679.905
"Maege Mormont",-991.7734,443.848
"Aemon Targaryen (son of Maekar I)",798.03705,665.6414
"Ballabar",445.11752,-947.285
"Colemon",-511.0435,290.58286
"Cressen",-65.52798,-1429.6947
"Luwin",-502.13248,833.1274
"Pycelle",412.25092,-45.396736
"Pylos",-151.22371,-1466.2498
"Vyman",-736.35974,-612.3162
"Wolkan",-1390.9335,-399.61215
"Mago",724.45764,-840.26294
"Maid_10.16",-313.97818,-1054.2883
"Maid_11.18",-935.19116,77.8556
"Maid_29.18",298.2342,-1343.4258
"Maid_3.19",-41.805897,-621.7496
"Maid_34.4",1102.1793,231.37482
"Maid_42.21",-815.78546,-999.4967
"Maid_42.22",-940.4609,-1238.2693
"Maid_47.23",-582.1367,-1328.8663
"Maid_5.31",-106.03985,1232.733
"Maid_8.3",846.2936,186.37451
"Maiden_3.3",-441.8085,-332.84116
"Maids_16.20",-1317.8796,-856.1629
"Mallister men_9.3",-1076.2227,370.36
"Manderly men_18.3",-1114.1558,66.40369
"Manderly men_33.4",-1464.844,564.49225
"Mandon Moore",548.19006,-264.06
"Margaery Tyrell",-494.87848,-515.0743
"Marillion",-180.5699,-5.65376
"Marq Piper",99.83723,-61.986046
"Mathis Rowan",-379.91928,-705.85626
"Matthar",801.19617,767.8492
"Mebble Pinkeye",-579.2917,-1430.4178
"Meera Reed",-428.2906,902.19617
"Melessa Florent",1424.4299,679.2255
"Melisandre",-177.01219,-1052.3805
"Meraxes",516.56354,-1481.4061
"Merchant_51.17",1067.9126,-431.1922
"Meryn Trant",198.8816,-471.55472
"Messenger_21.15",839.5407,20.718733
"Mikken",-266.41547,773.2805
"Miller's wife_51.11",20.27548,704.61865
"Mirri Maz Duur",874.4714,-1002.7366
"Mord",-561.1806,515.64484
"Mors Umber",-300.5958,1385.324
"Murch",-884.4004,-366.3513
"Murch (Winterfell)",-852.30945,1168.0078
"Mya Stone",-336.76413,-327.0429
"Mycah",-253.18076,-525.5848
"Myrcella Baratheon",17.207106,-368.58044
"Nestor Royce",-245.73744,-268.24905
"Night's watch man_17.10",677.3048,1331.3313
"Night's watch man_20.26",1540.6766,198.62265
"Night's watch men_15.3",903.31555,702.3832
"Night's watch men_15.8",639.4486,1095.099
"Night's watch men_17.10",1107.1163,793.8629
"Night's watch men_17.3",1111.1089,914.932
"Night's watch men_20.25",843.8639,1049.8544
"Night's watch men_31.4",443.5697,1093.6514
"Night's watch men_31.8",1204.6532,853.5771
"Night's watch men_35.11",897.4415,1151.5422
"Night's watch men_41.21",891.66223,1268.6638
"Night's watch men_41.23",1214.2693,627.4706
"Night's watch men_45.19",396.05057,1437.5648
"Night's watch men_7.3",984.9467,563.09906
"Night's watch men_8.17",697.1165,1195.0531
"Night's watch prospects_26.5",-788.279,-387.5877
"Night's watch recruits_13.10",782.37994,960.0558
"Night's watch recruits_27.6",1110.0026,1092.8046
"Night's watch recruits_8.21",730.521,1044.8906
"Night's watch recruits_8.22",1297.3037,910.05255
"Night's watch soldiers_6.10",635.01636,1421.6105
"Night's watch soldiers_6.9",142.42607,1380.2269
"Northern lords_23.18",-1025.1555,147.45644
"Northern prisonners_47.13",-1068.7476,-822.3239
"Northmen_55.14",-485.63547,992.1563
"Nymeria (direwolf)",-139.12987,291.92212
"Ogo's khalasar_20.4",1475.4363,-121.01295
"Nan",-208.20618,1265.6343
"Old woman_28.5",-1050.995,-102.56885
"Orell",324.85535,1264.7566
"Osha",-520.5879,737.05743
"Osha's brother_17.20",-1550.3396,-344.6211
"Osmund Kettleblack",303.60007,-682.8019
"Osney Kettleblack",344.50107,-906.62195
"Oswell Whent",211.2876,974.75055
"Other_1.5",29.15793,1321.492
"Others_7.23.2",-66.49515,-1573.5327
"Othor",942.3209,1004.45404
"Parmen Crane",-202.71797,-1358.1758
"Patchface",28.068598,-1430.5143
"Patrek Mallister",-1166.9487,393.85208
"Petyr Baelish",192.59734,-95.90792
"Podrick Payne",855.62726,-122.581856
"Polliver",-1315.1542,-326.9453
"Poxy Tym",-783.94403,1223.1564
"Prisonner_20.5",538.7086,-1359.009
"Prisonner_38.4",-1529.2904,-229.28241
"Prisonner_38.5.1",-1545.0172,89.61194
"Prisonner_38.5.2",-1554.1179,185.63512
"Prisonner_38.5.3",-1547.0636,-4.9918494
"Prisonner_38.5.4",-1478.723,250.11229
"Prisonners_20.11",784.00256,-942.1791
"Prisonners_38.4",-1246.587,-417.70685
"Prisonners_54.21",126.278984,-736.27966
"Prostitutes_12.26",209.69211,514.2616
"Prostitutes_40.8",1217.1959,476.19238
"Prostitutes_6.17",460.6309,612.596
"Puppeteer_13.23",-990.69574,551.0666
"Pyat Pree",1282.4272,-735.5537
"Pypar",640.38794,671.49615
"Qarth warlocks_8.19",1348.1947,800.9877
"Qhorin Halfhand",402.89917,1186.8179
"Qotho",688.501,-941.8334
"Quaithe of the Shadow",1300.515,-640.7319
"Quaro",830.1027,-847.4454
"Queen's men_29.12",441.4319,-1172.6404
"Quhuru Mo",1428.4664,-654.67053
"Rafford",-1200.13,-290.6234
"Ragwyle",236.28233,1341.0565
"Rakharo",1104.1406,-846.87683
"Rambton's 3 sons",859.5073,-638.75757
"Ramsay Snow",-586.5619,1087.0227
"Randyll Tarly",1433.0243,580.79626
"Rapists_20.6",1029.7085,-1064.496
"Rast",665.77734,963.8615
"Raymun Darry",70.63232,-153.41885
"Red Lorren",-1277.0466,860.055
"Red Rolfe",-397.5952,1200.1737
"Renly's men_36.15",-560.7871,-635.9507
"Renly's men_36.16",-606.28094,-403.42465
"Renly's men_39.5",-303.03613,-821.3567
"Renly's men_40.14",-280.12076,-729.03015
"Renly Baratheon",-141.88469,-353.54135
"Rhaegal",1187.1353,-677.2563
"Rhaegar Targaryen",623.19836,-71.956184
"Rhaenys Targaryen",427.24783,-1434.6261
"Rickard Karstark",-576.3237,621.5314
"Rickard Stark",35.12973,533.796
"Rickon Stark",-398.5313,701.2962
"Robar Royce",-581.2874,-756.8871
"Robb's host_19.16",-975.0826,331.04352
"Robb's men_17.24",-1316.7635,529.8959
"Robb Stark",-494.51224,362.84927
"Robert's squires_9.21",544.8667,342.48477
"Robert Arryn",-606.45264,405.2067
"Robert I Baratheon",19.018208,154.5885
"Robett Glover",-1190.694,-809.7162
"Robin Ryger",-1133.5668,-496.7302
"Rodrik Cassel",-412.6454,378.43988
"Roose Bolton",-974.094,-57.054764
"Rorge",-1048.5339,-405.70813
"Rymund the Rhymer",-1537.7635,333.46194
"Sailor_21.24",-475.02164,-1143.7522
"Sailors_30.15",-975.2451,1234.1377
"Sailors_43.13",243.48833,-396.0128
"Salladhor Saan",177.27644,-1468.2258
"Salloreon",1189.7217,156.1189
"Samwell Tarly",1008.95996,785.5652
"Sandor Clegane",169.41557,-267.38593
"Sansa Stark",114.053955,-256.65982
"Sealord_16.15",334.63678,-1244.6711
"Sellswords_10.5",-447.97168,-80.51855
"Selyse Florent",-270.20682,-1467.9395
"Eglantine",-0.93914974,-916.683
"Mordane",-179.49826,-179.04868
"Barre",1370.9172,-65.917435
"Cellador",887.9357,920.6869
"Chayle",-53.280304,761.50433
"Septon_13.24",-302.8904,394.74615
"Servant_2.24",-187.1476,472.28998
"Servant_3.6",296.85907,365.99762
"Servant_37.22",1040.1307,311.49246
"Servant_37.8",-1222.9957,620.80817
"Servant_44.9",1319.3618,-843.7617
"Servant_46.13",1489.1368,-528.3291
"Servant_6.12",1007.87805,453.88657
"Servant_7.14",-299.94836,-1232.0415
"Servant_8.8",1102.6001,459.2381
"Servants_35.5",-356.1902,970.90826
"Servants_4.7",-22.389452,960.96204
"Servants_50.5",304.04617,-812.3006
"Shae",520.6057,-84.7227
"Shagga",634.714,368.66016
"Shaggydog",-200.51617,580.0753
"Shagwell the Fool",-1329.0902,-491.9406
"Shireen Baratheon",-192.15225,-1566.806
"Shitmouth",-1480.7208,-142.69283
"Silent sisters_43.11",-170.04903,905.91705
"Silent Sisters_55.4",346.0353,964.20624
"Slaves_1.26",1530.1178,52.964962
"Slaves_22.19",31.102365,-1557.4745
"Slaves_38.9",-770.9762,-1224.4573
"Slaves_46.21",1527.3037,-303.30753
"Soldier_36.23",-745.0125,-111.26423
"Soldier_8.10",765.3818,94.85284
"Soldier_8.8",764.1254,-64.9723
"Soldiers_13.12",685.1824,-165.78394
"Soldiers_16.8",501.78732,15.634505
"Soldiers_18.6",-912.4803,190.30243
"Soldiers_4.11",133.2112,743.6004
"Soldiers_4.15",170.52411,632.40106
"Soldiers_40.22",-659.9415,-830.5786
"Soldiers_47.19",-1164.83,-1000.84326
"Sorrowful Man_51.19",1111.251,-346.41226
"Dalbridge",551.77075,1303.7415
"Stableboy_16.21",-479.03723,-1454.453
"Stableboy_54.13",-661.5963,-1264.6705
"Stablehands_11.13",-730.2575,-924.45337
"Staff_39.18",-1015.2157,-1061.901
"Staff_39.19",-1258.7948,-657.35333
"Staff_42.20",-1385.1814,-717.29456
"Staff_42.24",-680.40875,-1391.0458
"Stannis's fleet_52.8",298.84064,-1117.8151
"Stannis's host_44.11",-100.945564,-1324.1758
"Stannis's men_39.5",-403.23892,-903.1113
"Stannis's men_52.17",703.62244,-579.1191
"Stannis's men_53.11",1124.6781,-80.459816
"Stannis's men_53.14",1340.8341,75.97332
"Stannis's shadow_40.18",-478.8281,-723.7596
"Stannis's shadow_44.23",196.37173,-1353.7355
"Stannis Baratheon",-177.54472,-960.4652
"Stark man_28.1",-802.5133,354.57123
"Stark men_12.26",306.49457,468.4533
"Stark men_12.3",-787.55634,689.99536
"Stark men_17.18",-1087.8414,603.7489
"Stark men_17.22",-284.7714,1198.8817
"Stark men_19.28",-1284.1672,398.47153
"Stark men_21.12",943.2666,365.07767
"Stark men_21.16",-728.851,264.75415
"Stark men_23.13",-891.87164,429.69135
"Stark men_23.17",-1198.0995,485.35864
"Stark men_23.3",-79.35211,1109.9244
"Stark men_28.15",-709.4714,391.58774
"Stark men_36.13",-833.8188,-589.2201
"Stark men_36.14",-385.2933,-546.5776
"Stark men_39.4",-393.4324,-806.86334
"Stark men_40.14",-1422.6366,-18.390863
"Stark men_40.23",-908.34283,-799.2341
"Stark men_43.4",-1248.1267,-198.46729
"Stark soldier_5.13",-1130.0145,275.02225
"Stark soldiers_1.10",-69.86231,594.8426
"Stark soldiers_7.25",-282.8408,530.1848
"Stark staff_47.8",-712.97705,858.02783
"Stevron Frey",-1147.1589,170.2062
"Stiv",-686.05225,721.1837
"Stonesnake",436.47934,1319.3589
"Street merchant_21.23",-524.93646,-1241.6017
"Belwas",980.92163,-460.56583
"Stygg",-680.0281,973.9744
"Summer",-288.4874,635.0511
"Symon Silver Tongue",1125.688,32.837082
"Syrio Forel",53.40391,-1041.8351
"Tanda Stokeworth",309.2089,-328.37762
"Tarly's master-at-arm_8.19",1331.4882,695.7502
"The Tickler",-1144.538,-50.842358
"Theon Greyjoy",-498.67075,634.92786
"Thoren Smallwood",796.32733,1261.8685
"Thoros of Myr",-0.7072976,-65.4157
"Timett",416.3492,107.96207
"Tobho Mott",-711.9583,113.96273
"Todder",575.5352,768.98596
"Tommen Baratheon",-5.2777505,-216.84033
"Torrek",753.59033,350.38254
"Torrhen Karstark",-186.89583,1133.687
"Travelers_28.4",-827.71674,-201.59705
"Tully men_13.21",-211.98694,370.5587
"Tully men_23.15",-373.56863,1529.7755
"Tully men_43.4",-1238.2601,-10.366905
"Tully men_46.4",-1233.7701,-110.49263
"Tully men_46.7.1",-878.4874,-707.3768
"Tully men_46.7.2",-1067.1428,-639.2496
"Tymor",-493.34958,1202.3356
"Tyrion's men_32.9",551.61676,987.6412
"Tyrion's men_36.6",702.7034,578.5934
"Tyrion's men_36.7",529.835,457.74747
"Tyrion's squire_21.10",912.65894,-32.35753
"Tyrion Lannister",330.5778,172.02483
"Tysha",1009.06915,-250.53113
"Tytos Brax",-77.79036,1564.1176
"Tywin Lannister",346.55728,-212.2244
"Ulf the Ill",-83.08721,872.29297
"Urzen",-421.12927,1376.3284
"Utherydes Wayn",-170.50305,793.4653
