"Name","X","Y"
"2 Kingsguards_15.13",906.90607,100.646355
"2 Night's watch men_7.9",282.05148,878.6981
"2 Septas_9.20",996.1862,43.294426
"3 giants_17.20",-1585.1145,-108.39288
"3 others_1.7",-63.3744,1339.9158
"3 soldiers_8.10",305.58734,747.88007
"3 Tarly soldiers_8.20",1433.2024,392.98834
"Dothraki Crones",784.2611,-1352.695
"4 Night's watch men_45.21",1473.2887,267.6209
"5 Stark men_13.3",101.60293,1142.9125
"Aegon I Targaryen",391.1564,-1529.5088
"Aenys Frey",-1417.6564,-301.4051
"Aeron Greyjoy",-1163.7098,826.8495
"Aerys Targaryen",679.84064,7.5489993
"Aggar",-870.7204,1081.7303
"Aggo",977.4752,-653.0743
"Alayaya",1026.8274,-54.446808
"Albett",830.56555,857.2211
"Alester Florent",-11.311292,-1207.2015
"Allard Seaworth",112.16738,-1263.3479
"Alliser Thorne",618.00305,518.9533
"Alyn",343.4604,-102.761665
"Amabel",-1110.1898,-1106.5543
"Amory Lorch",-1043.4023,-542.5003
"Andar Royce",833.0217,-433.89212
"Aron Santagar",601.08386,-443.02985
"Arryn men_12.15",-627.9786,184.23546
"Arryn men_12.21",-361.63214,-122.21925
"Arthur Dayne",22.341776,1071.685
"Arya Stark",-578.1774,-559.07605
"Arys Oakheart",430.11816,-514.3111
"Asha's men_51.6",-1015.8656,1027.7397
"Asha Greyjoy",-1053.6924,834.7121
"Audience_26.17",532.5665,-706.6226
"Audience_37.18",357.0354,287.8348
"Balerion",416.50403,-1338.9198
"Balon Greyjoy",-1308.4236,665.83923
"Balon Swann",339.98853,-503.88507
"Baratheon men_25.23",91.25179,-1368.065
"Baratheon men_9.20",970.29254,-140.88597
"Barra",-693.1459,516.99585
"Barristan Selmy",617.2646,-285.59906
"Bedmaids_22.9",379.52667,-1058.5411
"Bedwyck",538.4125,1115.8647
"Benfred Tallhart",-1119.5433,928.3295
"Benjen Stark",160.40291,833.13104
"Beric Dondarrion",278.52774,-43.05636
"Beth Cassel",-472.2477,457.51773
"Walder Frey (son of Jammos)",-614.9194,880.9481
"Biter",-958.0243,-429.60886
"Black Lorren",-592.85144,999.20807
"Blacksmiths_32.7",1238.5763,-19.569777
"Blacksmiths_8.30",-710.793,2.5802422
"Bloodmage_22.24",636.92816,-1426.25
"Bolton men_47.23",-1247.6228,-534.31384
"Bolton men_55.22",-525.202,1367.3059
"Boros Blount",390.91867,-320.69418
"Bowen Marsh",1087.246,563.4793
"Bracken men_9.6",-284.4832,192.27457
"Bran Stark",-365.8851,581.91125
"Brandon's daughter_48.12",481.18777,1519.2737
"Brandon's grandson_48.12",249.0521,1496.3813
"Brandon Stark",-90.541374,500.56265
"Brandon Tallhart",-1003.7394,921.22455
"Brave Companions_39.17",-914.28613,-1074.5951
"Brave Companions_46.13",-1136.4683,-897.9568
"Brave Companions_47.24",-1463.229,-576.297
"Brienne of Tarth",-630.6831,-503.0141
"Bronn",220.55913,99.27861
"Bryce Caron",-276.2762,-937.3381
